"Institution","Commitment","State","Carnegie Classification","% Change in Net Emissions","Total Net Emissions","Total Offsets","Total Gross Emissions","Total Building Sq. Ft.","per sq ft % Change in Emissions","Enrollment (FTE)","per FTE % Change in Emissions ","RE Energy Gen. (kWh)","Date Signed","Carbon Neutrality Date ","Sustain Web Site"
"Adams State University","Carbon","CO","MA","20.93","18,711","0","18,711","1,132,787","-4.72","2,576","-14.09","233,586","Feb 26, 2008",2030,"http://www.adams.edu/sustainability/"
"Agnes Scott College","Climate","GA","BA","-29.35","8,903","0","9,047","1,025,209","-41.42","1,008","-38.88","274,205","Oct 5, 2015",2037,"http://www.agnesscott.edu/sustainability"
"Alaska Pacific University","Carbon","AK","BA","0.00","4,637","0","4,637","244,015","0.00","471","0.00","0","Mar 9, 2007",2023,""
"Allegheny College","Climate","PA","BA","-39.27","10,521","757","10,651","1,451,255","-50.03","1,729","-23.71","8,573","Jun 2, 2016",2020,"http://www.allegheny.edu/green/"
"American Public University System","Carbon","WV","MA","225.25","7,292","0","7,292","224,564","55.98","80,000","-36.34","425","Sep 14, 2007",2050,""
"American University","Climate","DC","DR","-102.82","-1,564","27,500","25,936","3,995,858","-102.36","12,614","-102.26","33,806","Apr 19, 2016",2020,"http://www.american.edu/sustainability"
"Antioch University New England","Carbon","NH","DR","-4.26","2,538","0","2,538","90,500","-10.08","756","23.09","0","Jul 23, 2007",2020,"https://www.antioch.edu/new-england/resources/our-campus-and-offices/sustainability-social-justice/"
"Appalachian State University","Climate","NC","MA","-11.48","65,793","11,594","67,527","5,288,095","-14.80","17,391","-19.84","608,282","Jan 4, 2016",2050,"http://sustainability.appstate.edu/"
"Arizona State University","Climate","AZ","DR","-27.85","280,365","442","280,807","24,417,849","-48.70","77,102","-44.73","11,593","Dec 15, 2015",2035,"http://sustainability.asu.edu/gios/index.htm"
"Auburn University","Carbon","AL","DR","-7.05","219,811","0","219,811","11,846,397","-40.56","24,849","-8.24","15,249","Sep 9, 2008",2050,"http://www.auburn.edu/sustainability"
"Augsburg University","Carbon","MN","MA","-52.33","10,330","0","10,330","1,167,443","-57.32","4,070","-59.10","0","Jun 13, 2007",2019,"http://augsburg.edu/green/"
